"msdnID","locale","Product family version","Target URL"
"f47464a9-6c59-4f15-abd0-be29ab515698","en-us","","https://msdn.microsoft.com/XXX/readconsoleoutputcharacter"
"d78bf4c9-2314-466c-b617-619259c824b5","en-us","","https://msdn.microsoft.com/XXX/scrollconsolescreenbuffer"
"c026cb94-c8ec-44ee-b432-3870ae3006c2","en-us","","https://msdn.microsoft.com/XXX/setconsoleactivescreenbuffer"
"6a1a9ba5-c792-491d-ae51-979f462dcb53","en-us","","https://msdn.microsoft.com/XXX/setconsolecp"
"6fc64265-1403-45ea-925c-c5eb31d56734","en-us","","https://msdn.microsoft.com/XXX/setconsolectrlhandler"
"c98cbffb-18de-41e8-bba7-5fb46a0c5d25","en-us","","https://msdn.microsoft.com/XXX/setconsolecursorinfo"
"8e9abada-a64e-429f-8286-ced1169c7104","en-us","","https://msdn.microsoft.com/XXX/setconsolecursorposition"
"27437a85-f784-41fc-8279-9fe089b0a744","en-us","","https://msdn.microsoft.com/XXX/setconsoledisplaymode"
"db180f53-aa3c-4a91-bc3e-9f3f0bb7ab01","en-us","","https://msdn.microsoft.com/XXX/setconsolehistoryinfo"
"77508d58-8a7a-4c47-9ec5-dc61e5c4beac","en-us","","https://msdn.microsoft.com/XXX/setconsolemode"
"0b41e66b-ca19-4d69-9f39-92da158344ef","en-us","","https://msdn.microsoft.com/XXX/setconsoleoutputcp"
"ff851144-eee9-4410-8fd1-28aa24fc25f1","en-us","","https://msdn.microsoft.com/XXX/setconsolescreenbufferinfoex"
"50bf1973-5604-42fe-bbeb-611ddc240bdd","en-us","","https://msdn.microsoft.com/XXX/setconsolescreenbuffersize"
"9fba5bb5-b999-4abd-ab39-7a63d58b8074","en-us","","https://msdn.microsoft.com/XXX/setconsoletextattribute"
"f1db449b-0dd0-4d61-bb79-b7da9a5168f4","en-us","","https://msdn.microsoft.com/XXX/setconsoletitle"
"ad16a8fe-ca91-41d6-93b1-8cce6d54b1da","en-us","","https://msdn.microsoft.com/XXX/setconsolewindowinfo"
"fbc31e2a-31df-4e9e-9f61-35a4ff812f8f","en-us","","https://msdn.microsoft.com/XXX/setcurrentconsolefontex"
"f5952460-1839-415e-b400-2f04425f288a","en-us","","https://msdn.microsoft.com/XXX/setstdhandle"
"1a13d9ef-75a9-49fd-9717-207f18612b59","en-us","","https://msdn.microsoft.com/XXX/writeconsole"
"ad06231f-5063-4aff-b14d-8df5e6e42430","en-us","","https://msdn.microsoft.com/XXX/writeconsoleinput"
"a98b8118-97ce-4dd4-a337-122d4a76f232","en-us","","https://msdn.microsoft.com/XXX/writeconsoleoutput"
"52a9d6e5-072e-4411-9945-10bd3dd61e25","en-us","","https://msdn.microsoft.com/XXX/writeconsoleoutputattribute"
